# i	j	x	y	z
23.00	12.00	4.00	-1.50	0.43
23.00	13.00	4.00	-1.00	0.92
23.00	14.00	4.00	-0.50	0.52
23.00	15.00	4.00	0.00	0.12
23.00	16.00	4.00	0.50	-0.38
23.00	17.00	4.00	1.00	-0.87
23.00	18.00	4.00	1.50	-0.59
23.00	19.00	4.00	2.00	-0.31
23.00	20.00	4.00	2.50	0.14
23.00	21.00	4.00	3.00	0.59
23.00	22.00	4.00	3.50	0.33
23.00	23.00	4.00	4.00	0.08
23.00	24.00	4.00	4.50	-0.30
23.00	25.00	4.00	5.00	-0.67
23.00	26.00	4.00	5.50	-0.26
23.00	27.00	4.00	6.00	0.15
23.00	28.00	4.00	6.50	0.77
23.00	29.00	4.00	7.00	1.40
24.00	1.00	4.50	-7.00	0.21
24.00	2.00	4.50	-6.50	0.56
24.00	3.00	4.50	-6.00	0.92
24.00	4.00	4.50	-5.50	0.78
24.00	5.00	4.50	-5.00	0.65
24.00	6.00	4.50	-4.50	-0.01
24.00	7.00	4.50	-4.00	-0.67
24.00	8.00	4.50	-3.50	-0.95
24.00	9.00	4.50	-3.00	-1.23
24.00	10.00	4.50	-2.50	-0.72
24.00	11.00	4.50	-2.00	-0.20
24.00	12.00	4.50	-1.50	0.36
24.00	13.00	4.50	-1.00	0.92
24.00	14.00	4.50	-0.50	0.80
24.00	15.00	4.50	0.00	0.67
24.00	16.00	4.50	0.50	0.24
24.00	17.00	4.50	1.00	-0.19
24.00	18.00	4.50	1.50	-0.27
24.00	19.00	4.50	2.00	-0.36
24.00	20.00	4.50	2.50	-0.26
24.00	21.00	4.50	3.00	-0.15
24.00	22.00	4.50	3.50	-0.26
24.00	23.00	4.50	4.00	-0.36
24.00	24.00	4.50	4.50	-0.38
24.00	25.00	4.50	5.00	-0.40
24.00	26.00	4.50	5.50	0.03
24.00	27.00	4.50	6.00	0.46
24.00	28.00	4.50	6.50	0.82
24.00	29.00	4.50	7.00	1.19
25.00	1.00	5.00	-7.00	0.61
25.00	2.00	5.00	-6.50	0.77
25.00	3.00	5.00	-6.00	0.94
25.00	4.00	5.00	-5.50	0.61
25.00	5.00	5.00	-5.00	0.28
25.00	6.00	5.00	-4.50	-0.32
25.00	7.00	5.00	-4.00	-0.92
25.00	8.00	5.00	-3.50	-1.11
25.00	9.00	5.00	-3.00	-1.30
25.00	10.00	5.00	-2.50	-0.82
25.00	11.00	5.00	-2.00	-0.35
25.00	12.00	5.00	-1.50	0.29
25.00	13.00	5.00	-1.00	0.92
25.00	14.00	5.00	-0.50	1.07
25.00	15.00	5.00	0.00	1.22
25.00	16.00	5.00	0.50	0.85
25.00	17.00	5.00	1.00	0.49
25.00	18.00	5.00	1.50	0.04
25.00	19.00	5.00	2.00	-0.41
25.00	20.00	5.00	2.50	-0.65
25.00	21.00	5.00	3.00	-0.89
25.00	22.00	5.00	3.50	-0.84
25.00	23.00	5.00	4.00	-0.80
25.00	24.00	5.00	4.50	-0.46
25.00	25.00	5.00	5.00	-0.12
25.00	26.00	5.00	5.50	0.33
25.00	27.00	5.00	6.00	0.77
25.00	28.00	5.00	6.50	0.88
25.00	29.00	5.00	7.00	0.98
26.00	1.00	5.50	-7.00	0.42
26.00	2.00	5.50	-6.50	0.41
26.00	3.00	5.50	-6.00	0.40
26.00	4.00	5.50	-5.50	0.13
26.00	5.00	5.50	-5.00	-0.14
26.00	6.00	5.50	-4.50	-0.47
26.00	7.00	5.50	-4.00	-0.80
26.00	8.00	5.50	-3.50	-0.92
26.00	9.00	5.50	-3.00	-1.04
26.00	10.00	5.50	-2.50	-0.77
26.00	11.00	5.50	-2.00	-0.51
26.00	12.00	5.50	-1.50	0.10
26.00	13.00	5.50	-1.00	0.71
26.00	14.00	5.50	-0.50	1.16
26.00	15.00	5.50	0.00	1.61
26.00	16.00	5.50	0.50	1.37
26.00	17.00	5.50	1.00	1.12
26.00	18.00	5.50	1.50	0.34
26.00	19.00	5.50	2.00	-0.44
26.00	20.00	5.50	2.50	-0.95
26.00	21.00	5.50	3.00	-1.46
26.00	22.00	5.50	3.50	-1.19
26.00	23.00	5.50	4.00	-0.92
26.00	24.00	5.50	4.50	-0.33
26.00	25.00	5.50	5.00	0.25
26.00	26.00	5.50	5.50	0.41
26.00	27.00	5.50	6.00	0.57
26.00	28.00	5.50	6.50	0.31
26.00	29.00	5.50	7.00	0.04
27.00	1.00	6.00	-7.00	0.23
27.00	2.00	6.00	-6.50	0.04
27.00	3.00	6.00	-6.00	-0.14
27.00	4.00	6.00	-5.50	-0.35
27.00	5.00	6.00	-5.00	-0.57
27.00	6.00	6.00	-4.50	-0.62
27.00	7.00	6.00	-4.00	-0.68
27.00	8.00	6.00	-3.50	-0.73
27.00	9.00	6.00	-3.00	-0.78
27.00	10.00	6.00	-2.50	-0.72
27.00	11.00	6.00	-2.00	-0.66
27.00	12.00	6.00	-1.50	-0.09
27.00	13.00	6.00	-1.00	0.49
27.00	14.00	6.00	-0.50	1.25
27.00	15.00	6.00	0.00	2.00
27.00	16.00	6.00	0.50	1.88
27.00	17.00	6.00	1.00	1.76
27.00	18.00	6.00	1.50	0.64
27.00	19.00	6.00	2.00	-0.48
27.00	20.00	6.00	2.50	-1.25
27.00	21.00	6.00	3.00	-2.02
27.00	22.00	6.00	3.50	-1.52
27.00	23.00	6.00	4.00	-1.03
27.00	24.00	6.00	4.50	-0.21
27.00	25.00	6.00	5.00	0.62
27.00	26.00	6.00	5.50	0.50
27.00	27.00	6.00	6.00	0.38
27.00	28.00	6.00	6.50	-0.26
27.00	29.00	6.00	7.00	-0.89
28.00	1.00	6.50	-7.00	0.12
28.00	2.00	6.50	-6.50	-0.25
28.00	3.00	6.50	-6.00	-0.61
28.00	4.00	6.50	-5.50	-0.57
28.00	5.00	6.50	-5.00	-0.52
28.00	6.00	6.50	-4.50	-0.24
28.00	7.00	6.50	-4.00	0.03
28.00	8.00	6.50	-3.50	-0.09
28.00	9.00	6.50	-3.00	-0.23
28.00	10.00	6.50	-2.50	-0.53
28.00	11.00	6.50	-2.00	-0.84
28.00	12.00	6.50	-1.50	-0.44
28.00	13.00	6.50	-1.00	-0.04
28.00	14.00	6.50	-0.50	0.81
28.00	15.00	6.50	0.00	1.66
28.00	16.00	6.50	0.50	1.62
28.00	17.00	6.50	1.00	1.58
28.00	18.00	6.50	1.50	0.48
28.00	19.00	6.50	2.00	-0.61
28.00	20.00	6.50	2.50	-1.22
28.00	21.00	6.50	3.00	-1.82
28.00	22.00	6.50	3.50	-1.12
28.00	23.00	6.50	4.00	-0.42
28.00	24.00	6.50	4.50	0.29
28.00	25.00	6.50	5.00	1.00
28.00	26.00	6.50	5.50	0.53
28.00	27.00	6.50	6.00	0.06
28.00	28.00	6.50	6.50	-0.63
28.00	29.00	6.50	7.00	-1.32
29.00	1.00	7.00	-7.00	0.01
29.00	2.00	7.00	-6.50	-0.54
29.00	3.00	7.00	-6.00	-1.09
29.00	4.00	7.00	-5.50	-0.79
29.00	5.00	7.00	-5.00	-0.48
29.00	6.00	7.00	-4.50	0.14
29.00	7.00	7.00	-4.00	0.75
29.00	8.00	7.00	-3.50	0.54
29.00	9.00	7.00	-3.00	0.33
29.00	10.00	7.00	-2.50	-0.35
29.00	11.00	7.00	-2.00	-1.03
29.00	12.00	7.00	-1.50	-0.80
29.00	13.00	7.00	-1.00	-0.58
29.00	14.00	7.00	-0.50	0.37
29.00	15.00	7.00	0.00	1.32
29.00	16.00	7.00	0.50	1.36
29.00	17.00	7.00	1.00	1.41
29.00	18.00	7.00	1.50	0.33
29.00	19.00	7.00	2.00	-0.75
29.00	20.00	7.00	2.50	-1.19
29.00	21.00	7.00	3.00	-1.63
29.00	22.00	7.00	3.50	-0.71
29.00	23.00	7.00	4.00	0.20
29.00	24.00	7.00	4.50	0.79
29.00	25.00	7.00	5.00	1.39
29.00	26.00	7.00	5.50	0.56
29.00	27.00	7.00	6.00	-0.26
29.00	28.00	7.00	6.50	-1.00
29.00	29.00	7.00	7.00	-1.75
